station_id	name	altitude	lat	lon	country
1000005	Visviri	4080	-17.59499931	-69.48310089	Chile
1201005	Rio Caracarani En Humapalca	3908	-17.84280014	-69.69940186	Chile
1001005	Caquena	4400	-18.05419922	-69.2016983	Chile
1202009	Pacollo	4185	-18.17690086	-69.50920105	Chile
1202012	Putre (Dcp)	3560	-18.19499969	-69.55889893	Chile
1202010	Putre	3545	-18.19919968	-69.56030273	Chile
1020017	Parinacota Ex Endesa	4420	-18.20420074	-69.26830292	Chile
1010010	Chungara Ajata	4585	-18.23530006	-69.1832962	Chile
1300004	Murmuntane	3550	-18.3519001	-69.55190277	Chile
1211006	Lluta	290	-18.4102993	-70.16919708	Chile
1310018	Arica Oficina	20	-18.47750092	-70.32080078	Chile
1310021	U. Del Norte	55	-18.48329926	-70.29360199	Chile
1021002	Rio Guallatire En Guallatire	4280	-18.49309921	-69.1493988	Chile
1021007	Guallatire	4240	-18.49830055	-69.15470123	Chile
1310022	El Buitre Aerodromo	110	-18.51189995	-70.28420258	Chile
1310019	Azapa	365	-18.5156002	-70.18060303	Chile
1030003	Chilcaya	4270	-18.79389954	-69.08439636	Chile
1410011	Chaca	350	-18.81690025	-70.15000153	Chile
1410012	Codpa	1870	-18.8321991	-69.74389648	Chile
1502006	Cuya	200	-19.11170006	-70.12689972	Chile
1610004	Q. Camia 3 Km. A. Arriba De Tarcavire	3848	-19.11809921	-69.24469757	Chile
1041003	Colchane (T. Isluga)	3700	-19.27639961	-68.63780212	Chile
1730018	Lagunillas (Pampa Lirima)	4020	-19.93330002	-68.8368988	Chile
1050007	Coyacagua	4013	-20.05310059	-68.80750275	Chile
1740002	Cerro Colorado	2510	-20.06500053	-69.27030182	Chile
1700010	Huara En Fuerte Baquedano	1100	-20.13080025	-69.74970245	Chile
1051003	Salar Huasco	3800	-20.27610016	-68.88610077	Chile
1700008	Esmeralda	1115	-20.48419952	-69.38140106	Chile
1080001	Ujina	4300	-20.97139931	-68.62750244	Chile
2000001	Ollague	3700	-21.22330093	-68.24939728	Chile
2020001	Cebollar	3730	-21.53109932	-68.33860016	Chile
2101003	Lequena	3320	-21.65530014	-68.66110229	Chile
2112008	Quillagua	802	-21.6602993	-69.53579712	Chile
2020002	Ascotan	3970	-21.72529984	-68.27559662	Chile
2103008	Parshall N 2	3318	-21.94280052	-68.51750183	Chile
2103009	Ojos San Pedro	3800	-21.97060013	-68.31279755	Chile
2104008	Conchi Embalse	3010	-22.02499962	-68.62419891	Chile
2104009	Conchi Muro Embalse	3000	-22.02669907	-68.6207962	Chile
2103010	Inacaliri	4040	-22.02779961	-68.06610107	Chile
2210002	Tocopilla	150	-22.07970047	-70.18969727	Chile
2105016	Linzor	4100	-22.22970009	-68.02279663	Chile
2105015	Turi	3070	-22.24080086	-68.2881012	Chile
2105017	Toconce	3310	-22.25919914	-68.1733017	Chile
2105018	Ayquina	3031	-22.27529907	-68.31829834	Chile
2105020	Salado Embalse	3200	-22.28560066	-68.20279694	Chile
2105021	Caspana	3260	-22.33670044	-68.21219635	Chile
2104010	Chiu-Chiu	2524	-22.33779907	-68.63670349	Chile
2105022	El Tatio	4370	-22.37109947	-68.01329803	Chile
2112009	Coya Sur	1250	-22.39389992	-69.62249756	Chile
2110013	Calama	2300	-22.44939995	-68.90440369	Chile
2700001	Sierra Gorda	1616	-22.88920021	-69.32189941	Chile
2510006	San Pedro De Atacama	2450	-22.90530014	-68.20030212	Chile
2500016	Toconao Experimental	2500	-23.18889999	-67.99780273	Chile
2710002	Baquedano	1032	-23.33359909	-69.83969879	Chile
2240000	Liceo CientÍFico Humanista La Chimba	0	-23.55439949	-70.39330292	Chile
2500019	Socaire	3251	-23.58690071	-67.89250183	Chile
2710003	Antofagasta	50	-23.59749985	-70.38670349	Chile
2500020	Peine	2460	-23.68420029	-68.05809784	Chile
2660001	Monturaqui	3430	-24.34140015	-68.43530273	Chile
2942001	Aguas Verdes	1560	-25.39999962	-69.96330261	Chile
2943002	Tal-Tal (Dcp)	0	-25.40329933	-70.47969818	Chile
3210001	Las Vegas	2250	-26.67810059	-69.66560364	Chile
3450004	Copiapo	385	-27.37719917	-70.33080292	Chile
3430007	Los Loros	940	-27.83169937	-70.11190033	Chile
3430006	Lautaro Embalse	1110	-27.97830009	-70.00330353	Chile
3414001	Rio Pulido En Vertedero	1310	-28.08580017	-69.94080353	Chile
3414002	Iglesia Colorada	1550	-28.15719986	-69.88079834	Chile
3826003	Huasco Bajo	50	-28.47249985	-71.19309998	Chile
3823004	La Compaia (Vallenar)	430	-28.5760994	-70.80809784	Chile
3820004	Santa Juana	560	-28.66720009	-70.66249847	Chile
3820002	Rio Huasco En Chepica	600	-28.6996994	-70.55000305	Chile
3806002	El Transito	1100	-28.87310028	-70.28220367	Chile
3815004	San Felix	1150	-28.93110085	-70.46140289	Chile
3802001	Rio Conay En Las Lozas	0	-28.94560051	-70.10109711	Chile
3802005	Conay	1450	-28.97500038	-70.15329742	Chile
3804005	El Parral	1400	-28.97970009	-70.19860077	Chile
3814003	Rio Carmen En El Corral	2000	-29.1093998	-70.41390228	Chile
4120001	El Trapiche	300	-29.37310028	-71.11810303	Chile
4335002	La Serena (Escuela Agricola)	15	-29.90609932	-71.25559998	Chile
4308001	Rio Turbio En Varillar	890	-29.94580078	-70.53279877	Chile
4302001	Rio Toro Antes Junta Rio La Laguna	2165	-29.97109985	-70.09279633	Chile
4302014	Juntas	2150	-29.9769001	-70.0943985	Chile
4308003	Rivadavia	820	-29.97719955	-70.56169891	Chile
4314002	Rio Claro En Rivadavia	820	-29.97809982	-70.55249786	Chile
4323007	Almendral	370	-29.98220062	-70.91860199	Chile
4321001	Puclaro Embalse	460	-29.99640083	-70.85559845	Chile
4400002	Pan De Azucar	100	-30.00219917	-71.25920105	Chile
4311005	La Ortiga	1560	-30.19389915	-70.48190308	Chile
4301005	La Laguna Embalse	3160	-30.20330048	-70.04219818	Chile
4502005	Hurtado	1100	-30.2866993	-70.69609833	Chile
4502004	La Cortadera	920	-30.35029984	-70.76999664	Chile
4503001	Rio Hurtado En Angostura De Pangue	485	-30.43860054	-71.00219727	Chile
4506007	Recoleta Embalse	350	-30.50690079	-71.09970093	Chile
4551004	Ovalle (Escuela Agricola)	340	-30.55279922	-71.16419983	Chile
4557001	Salala	100	-30.67830086	-71.52999878	Chile
4540006	Paloma Embalse	320	-30.69580078	-71.03610229	Chile
4523004	Puntilla San Juan	430	-30.70249939	-70.9178009	Chile
4523002	Rio Grande En Puntilla San Juan	420	-30.70470047	-70.92440033	Chile
4537003	El Tome	420	-30.81780052	-70.97059631	Chile
4513004	Caren	740	-30.85470009	-70.77079773	Chile
4535001	Cogoti Embalse	740	-31.00779915	-71.08560181	Chile
4511003	Las Ramadas	1380	-31.01810074	-70.58580017	Chile
4531002	Rio Cogoti Entrada Embalse Cogoti	670	-31.03249931	-71.04029846	Chile
4530001	Rio Cogoti En Fraguita	1065	-31.11190033	-70.88500214	Chile
4721001	Rio Illapel En Las Burras	1079	-31.50690079	-70.8125	Chile
4722001	Santa Virginia	980	-31.5503006	-70.83529663	Chile
4723001	Rio Illapel En Huintil	775	-31.56080055	-70.96440125	Chile
4726003	Illapel Dga	290	-31.64500046	-71.19080353	Chile
4710001	La Tranquilla	1000	-31.89999962	-70.67060089	Chile
4810003	Caimanes	450	-31.93219948	-71.13610077	Chile
4902002	Los Condores	190	-32.10860062	-71.3125	Chile
5200006	Alicahue	750	-32.34080124	-70.75279999	Chile
